country_code,region,NY.GDP.PCAP.CD,SP.POP.TOTL,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SE.SEC.NENR.MA,SE.SEC.NENR.FE
KNA,Latin America & Caribbean,18028.9734308952,51204,NA,2.6434600353241,98.67617,98.0873
PRK,East Asia & Pacific,NA,25183833,NA,NA,NA,NA
KOR,East Asia & Pacific,28732.2310762599,51014947,NA,NA,97.91916,97.47823
KWT,Middle East & North Africa,29869.5293908248,3835591,95.6854476928711,NA,84.50138,88.71225
CYM,Latin America & Caribbean,76280.4866192809,61724,NA,NA,NA,NA
KAZ,Europe & Central Asia,10510.7718884149,17542806,NA,2.7885799407959,NA,NA
LAO,East Asia & Pacific,2134.71179567796,6741164,84.6610412597656,NA,56.81232,54.81054
LBN,Middle East & North Africa,7644.54865718212,6532678,NA,NA,NA,NA
LCA,Latin America & Caribbean,10093.8997626748,179126,NA,3.86772990226746,81.5955,79.99464
LIE,Europe & Central Asia,167290.939983907,37470,NA,NA,98.95251,84.22865
LKA,South Asia,3843.78067184442,20970000,NA,2.22874999046326,NA,NA
LBR,Sub-Saharan Africa,710.383857717515,4472230,NA,NA,16.74498,14.61057
LSO,Sub-Saharan Africa,1152.13982883937,2059021,NA,NA,32.95864,50.84718
LTU,Europe & Central Asia,14258.2293345128,2904910,NA,4.22988986968994,97.56561,97.43572
LUX,Europe & Central Asia,101376.496574339,569604,NA,3.91820001602173,82.56741,86.40325
LVA,Europe & Central Asia,13774.6052739114,1977527,NA,5.31412982940674,91.94852,93.83779
LBY,Middle East & North Africa,4337.91913919348,6418315,NA,NA,NA,NA
MAR,Middle East & North Africa,2875.25798516781,34663603,NA,NA,NA,NA
MCO,Europe & Central Asia,166011.50913116,37718,NA,NA,NA,NA
MDA,Europe & Central Asia,2732.45711293733,2834530,NA,NA,76.20263,76.6095
MNE,Europe & Central Asia,6514.56918801822,622159,NA,NA,NA,NA
MAF,Latin America & Caribbean,NA,35858,NA,NA,NA,NA
MDG,Sub-Saharan Africa,467.235399432808,24234088,NA,2.21011996269226,29.43763,31.1388
MHL,East Asia & Pacific,3213.83728825363,57439,NA,NA,53.14421,58.7011
MKD,Europe & Central Asia,4840.27312286783,2079328,NA,NA,NA,NA
MLI,Sub-Saharan Africa,751.474788898858,17438778,33.0688896179199,3.80150008201599,34.93344,27.71759
MMR,East Asia & Pacific,1287.43048657119,52680726,NA,NA,NA,NA
MNG,East Asia & Pacific,3918.57917389554,2998439,NA,4.17699003219604,NA,NA
MAC,East Asia & Pacific,75340.9869811152,602085,NA,2.98169994354248,76.21194,79.37816
MNP,East Asia & Pacific,16690.5700968089,55780,NA,NA,NA,NA
MRT,Sub-Saharan Africa,1524.07288252212,4046301,NA,NA,25.76843,24.16832
MLT,Middle East & North Africa,24921.6035735846,445053,NA,5.21635007858276,86.17789,91.74513
MUS,Sub-Saharan Africa,9260.44730250635,1262605,92.7076034545898,4.88667011260986,82.97556,87.79956
MDV,South Asia,9033.43986680388,454915,NA,4.36654996871948,NA,NA
MWI,Sub-Saharan Africa,380.597033140938,16745303,62.1435394287109,5.60866022109985,34.53697,33.95577
