"Table 208.40. Public elementary and secondary teachers, enrollment, and pupil/teacher ratios, by state or jurisdiction: Selected years, fall 2000 through fall 2016",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26
State or jurisdiction,Pupil/teacher ratio,NA,NA,NA,NA,NA,NA,NA,Fall 2014,NA,NA,NA,NA,Fall 2015,NA,NA,NA,NA,NA,Fall 2016,NA,NA,NA,NA,NA
NA,Fall 2000,NA,Fall 2005,NA,Fall 2010,NA,Fall 2013,NA,Teachers,NA,Enrollment,"Pupil/
teacher ratio",NA,Teachers,NA,Enrollment,NA,"Pupil/
teacher ratio",NA,Teachers,NA,Enrollment,NA,"Pupil/
teacher ratio",NA
Tennessee .....................,15.904432859841858,\2\,16.00657762265924,NA,14.835489594805139,NA,15.088811673085569,NA,65340.599999999999,NA,995475,15.23516772114122,NA,66488,NA,1001235,NA,15.058882805919865,NA,64270.299999999996,NA,1001562,NA,15.583589931897004,NA
Texas ..........................,14.771597301565354,NA,14.963690171116806,NA,14.733612193591977,NA,15.403490015770513,NA,342257.43000000005,NA,5233765,15.291895927577086,NA,347328.59000000003,NA,5301477,NA,15.263577927748475,NA,352808.90999999997,NA,5360849,NA,15.194766481379396,NA
Utah ...........................,21.877726281352235,NA,22.11238202931327,NA,22.804790800690586,NA,22.95529182747995,NA,27374,\3\,635577,23.218272813618761,\3\,28347.699999999997,\3\,647870,NA,22.85441146900807,\3\,28841.23,\3\,659801,NA,22.877006285792945,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vermont .........................,12.12847634894224,NA,10.918314314766693,NA,11.55536573261052,NA,10.589408203836257,NA,8275.7299999999996,NA,87311,10.550247531033516,NA,8338.369999999999,NA,87866,NA,10.537551104112676,NA,8186.5699999999997,NA,88428,NA,10.801593341289454,NA
Virginia .........................,13.163422513997954,\2\,11.675671515431386,NA,17.639050374553559,NA,14.138285209943533,NA,89967.709999999992,NA,1280381,14.231561523573292,NA,90255.259999999995,NA,1283590,NA,14.221774996825671,NA,91627.580000000002,NA,1287026,NA,14.046272967156831,NA
Washington .......................,19.663587615953659,NA,19.286555281453239,NA,19.353021677747162,NA,19.300137278016781,NA,59554.870000000003,NA,1073638,18.027711251825416,NA,57942.310000000005,NA,1087030,NA,18.760556836619042,NA,58815.270000000004,NA,1101711,NA,18.731717120400873,NA
West Virginia....................,13.682130912565695,NA,14.08555667001003,NA,13.90857518219177,NA,14.063355627834991,NA,20029.090000000004,NA,280310,13.995144062960421,NA,19664.32,NA,277452,NA,14.109412377341297,NA,19356.200000000001,NA,273855,NA,14.148179911346235,NA
Wisconsin ......................,14.617734563284301,NA,14.555424351788714,NA,15.137173837518235,NA,15.081251875640303,NA,58376,\3\,871432,14.927915581745923,\3\,58184.600000000006,NA,867800,NA,14.91459939571639,NA,59010.889999999992,NA,864432,NA,14.648686030663155,NA
Wyoming .........................,13.259619637328615,NA,12.587086191470325,NA,12.488197041017473,NA,12.273946783601735,NA,7614.5900000000001,NA,94067,12.353521332074347,NA,7653.4300000000003,NA,94717,NA,12.375758320125748,NA,7505.6499999999996,NA,94170,NA,12.546548266972215,NA
